distribution_method,n_qubits,n_gates_original,depth_original,n_gates_distributed,depth_distributed_pytket,distributed_depth,epr_pairs,epr_pairs_builtin,status,error,qoala_total_time_ns,total_requests,afa_punishment_time_ns,hamfa_punishment_time_ns,afa_blocked_requests,hamfa_blocked_requests,hamfa_memory_assisted_successful,hamfa_memory_assisted_not_successful,hamfa_memory_attempted,hamfa_all_photonic_used,hamfa_passed_t_cut,hamfa_direct_ap_trials,hamfa_photonic_trials_during_requests,simulation_seed
CoverEmbedding,11,43,23,49,26,26,3,3,ok,,1143403.0,3,17013366.0,8855145.0,3,3,1,0,1,2,0,23,23,53
CoverEmbedding,21,83,43,95,49,49,6,6,ok,,3487766.0,6,21689910.0,17113347.0,6,6,1,0,1,5,0,61,61,63
CoverEmbedding,31,123,63,141,73,73,9,9,ok,,3697747.0,9,36569485.0,28212284.0,8,9,3,0,3,6,0,78,78,73
CoverEmbedding,41,163,83,185,94,94,11,11,ok,,3537161.0,11,53693343.0,53892324.0,11,11,3,1,4,8,0,196,196,83
CoverEmbedding,51,203,103,229,116,116,13,13,ok,,4568112.0,13,56844529.0,61819054.0,13,13,2,1,3,11,0,228,228,93
CoverEmbedding,61,243,123,267,135,135,12,12,ok,,3824142.0,12,53904305.0,35200091.0,12,12,5,0,5,7,0,80,80,103
CoverEmbedding,71,283,143,309,156,156,13,13,ok,,4302151.0,13,45492104.0,44099237.0,13,13,7,0,7,6,0,65,65,113
CoverEmbedding,81,323,163,349,177,177,13,13,ok,,4979631.0,13,52788402.0,45824067.0,13,13,7,2,9,6,0,56,56,123
CoverEmbedding,91,363,183,389,196,196,13,13,ok,,4769651.0,13,87025113.0,51704382.270175986,13,13,2,2,4,11,0,167,167,133
CoverEmbedding,101,403,203,429,216,216,13,13,ok,,5071660.0,13,99052954.0,39358654.0,13,13,3,0,3,10,0,151,151,143
CoverEmbedding,111,443,223,469,236,236,13,13,ok,,5153179.0,13,43018293.0,72666462.0,13,13,3,0,3,10,0,207,207,153
CoverEmbedding,121,483,243,509,256,256,13,13,ok,,5393708.0,13,34363110.0,59235735.0,13,13,5,0,5,8,0,157,157,163
CoverEmbeddingSteiner,11,43,23,49,26,26,3,3,ok,,1143403.0,3,17013366.0,8855145.0,3,3,1,0,1,2,0,23,23,53
CoverEmbeddingSteiner,21,83,43,95,49,49,6,6,ok,,3487766.0,6,21689910.0,17113347.0,6,6,1,0,1,5,0,61,61,63
CoverEmbeddingSteiner,31,123,63,141,73,73,9,9,ok,,3697747.0,9,36569485.0,28212284.0,8,9,3,0,3,6,0,78,78,73
CoverEmbeddingSteiner,41,163,83,185,94,94,11,11,ok,,3537161.0,11,53693343.0,53892324.0,11,11,3,1,4,8,0,196,196,83
CoverEmbeddingSteiner,51,203,103,229,116,116,13,13,ok,,4568112.0,13,56844529.0,61819054.0,13,13,2,1,3,11,0,228,228,93
CoverEmbeddingSteiner,61,243,123,267,135,135,12,12,ok,,3824142.0,12,53904305.0,35200091.0,12,12,5,0,5,7,0,80,80,103
CoverEmbeddingSteiner,71,283,143,309,156,156,13,13,ok,,4302151.0,13,45492104.0,44099237.0,13,13,7,0,7,6,0,65,65,113
CoverEmbeddingSteiner,81,323,163,349,177,177,13,13,ok,,4979631.0,13,52788402.0,45824067.0,13,13,7,2,9,6,0,56,56,123
CoverEmbeddingSteiner,91,363,183,389,196,196,13,13,ok,,4769651.0,13,87025113.0,51704382.270175986,13,13,2,2,4,11,0,167,167,133
CoverEmbeddingSteiner,101,403,203,429,216,216,13,13,ok,,5071660.0,13,99052954.0,39358654.0,13,13,3,0,3,10,0,151,151,143
CoverEmbeddingSteiner,111,443,223,469,236,236,13,13,ok,,5153179.0,13,43018293.0,72666462.0,13,13,3,0,3,10,0,207,207,153
CoverEmbeddingSteiner,121,483,243,509,256,256,13,13,ok,,5393708.0,13,34363110.0,59235735.0,13,13,5,0,5,8,0,157,157,163
CoverEmbeddingSteinerDetached,11,43,23,49,26,26,3,3,ok,,1143403.0,3,17013366.0,8855145.0,3,3,1,0,1,2,0,23,23,53
CoverEmbeddingSteinerDetached,21,83,43,95,49,49,6,6,ok,,2451805.0,6,21413439.0,18826686.0,6,6,3,1,4,3,0,16,16,63
CoverEmbeddingSteinerDetached,31,123,63,141,72,72,9,9,ok,,4747649.0,9,36635976.0,36932844.270175986,9,9,2,0,2,7,0,98,98,73
CoverEmbeddingSteinerDetached,41,163,83,185,94,94,11,11,ok,,3529209.0,11,53416872.0,58789359.0,11,11,5,1,6,6,0,86,86,83
CoverEmbeddingSteinerDetached,51,203,103,229,116,116,13,13,ok,,4255593.0,13,56601058.0,83861455.0,13,13,0,4,4,13,0,291,291,93
CoverEmbeddingSteinerDetached,61,243,123,267,135,135,12,12,ok,,3878651.0,14,55242174.0,43303314.0,14,14,6,2,8,8,0,78,78,103
CoverEmbeddingSteinerDetached,71,283,143,309,157,157,13,13,ok,,5873572.0,13,46564988.0,69144521.81052795,13,13,6,2,8,7,0,83,83,113
CoverEmbeddingSteinerDetached,81,323,163,349,176,176,13,13,ok,,5286650.0,15,58835811.0,99290635.81052795,14,15,7,3,10,8,0,188,188,123
CoverEmbeddingSteinerDetached,91,363,183,389,196,196,13,13,ok,,9413993.0,13,87567055.0,46775950.0,13,13,3,2,5,10,0,121,121,133
CoverEmbeddingSteinerDetached,101,403,203,429,216,216,13,13,ok,,5741189.0,13,99329425.0,77937364.270176,13,13,1,4,5,12,0,202,202,143
CoverEmbeddingSteinerDetached,111,443,223,469,236,236,13,13,ok,,9411542.0,13,43560235.0,68034898.0,13,13,4,2,6,9,0,139,139,153
CoverEmbeddingSteinerDetached,121,483,243,509,256,256,13,13,ok,,8212052.0,13,33810168.0,61269546.0,13,13,4,2,6,9,0,155,155,163
PartitioningAnnealing,11,43,23,45,24,24,1,1,ok,,782961.0,1,143981.0,3924620.0,1,1,0,0,0,1,0,20,20,53
PartitioningAnnealing,21,83,43,87,45,45,2,2,ok,,2198422.0,2,6401373.0,5207487.0,2,2,0,0,0,2,0,27,27,63
PartitioningAnnealing,31,123,63,131,67,67,4,4,ok,,1963393.0,4,10558465.0,5583940.0,4,4,0,0,0,4,0,29,29,73
PartitioningAnnealing,41,163,83,173,88,88,5,5,ok,,3502305.0,5,23127758.0,26709416.0,5,5,0,1,1,5,0,116,116,83
PartitioningAnnealing,51,203,103,219,111,111,8,8,ok,,4971188.0,8,38374749.0,72697368.270176,8,8,1,5,6,7,0,121,121,93
PartitioningAnnealing,61,243,123,267,136,136,12,12,ok,,5144140.0,14,55470126.0,68881311.0,14,14,3,5,8,11,0,171,171,103
PartitioningAnnealing,71,283,143,315,160,160,16,16,ok,,7595455.0,15,75754596.0,62340280.0,15,15,8,1,9,7,0,69,69,113
PartitioningAnnealing,81,323,163,351,177,177,14,14,ok,,5180082.0,14,53274366.0,31895397.0,13,13,7,0,7,7,0,86,86,123
PartitioningAnnealing,91,363,183,407,207,207,22,22,ok,,8803281.0,22,120741408.0,115167408.0,21,21,5,6,11,17,0,239,239,133
PartitioningAnnealing,101,403,203,449,226,226,23,23,ok,,10227779.0,23,157007701.0,106870588.0,23,23,5,3,8,18,0,229,229,143
PartitioningAnnealing,111,443,223,503,253,253,30,30,ok,,11129567.0,29,88343841.0,150067207.0,26,28,12,3,15,17,0,300,300,153
PartitioningAnnealing,121,483,243,551,277,277,34,34,ok,,13073902.0,34,96057557.0,356884988.270176,27,33,11,10,21,23,0,408,408,163
PartitioningHeterogeneous,11,43,23,49,26,26,3,3,ok,,1397383.0,3,17046366.0,16449423.0,3,3,0,1,1,3,0,33,33,53
PartitioningHeterogeneous,21,83,43,95,49,49,6,6,ok,,2513286.0,6,21413439.0,14051142.0,6,6,2,1,3,4,0,35,35,63
PartitioningHeterogeneous,31,123,63,141,73,73,9,9,ok,,3805679.0,9,36547485.0,19855082.0,8,9,5,0,5,4,0,7,7,73
PartitioningHeterogeneous,41,163,83,185,95,95,11,11,ok,,4087650.0,11,53704343.0,89520923.0,11,11,1,4,5,10,0,201,201,83
PartitioningHeterogeneous,51,203,103,229,116,116,13,13,ok,,5637072.0,13,57121000.0,91544713.0,13,13,1,2,3,12,0,233,233,93
