n_qubits,n_gates_original,depth_original,n_gates_distributed,depth_distributed_pytket,distributed_depth,epr_pairs,epr_pairs_builtin,status,error,qoala_total_time_ns,total_requests,simulation_seed,simulation_runs,afa_punishment_time_ns,afa_punishment_time_ns_std,afa_punishment_time_ns_lower,afa_punishment_time_ns_upper,hamfa_punishment_time_ns,hamfa_punishment_time_ns_std,hamfa_punishment_time_ns_lower,hamfa_punishment_time_ns_upper,afa_blocked_requests,afa_blocked_requests_std,afa_blocked_requests_lower,afa_blocked_requests_upper,hamfa_blocked_requests,hamfa_blocked_requests_std,hamfa_blocked_requests_lower,hamfa_blocked_requests_upper,hamfa_memory_assisted_successful,hamfa_memory_assisted_successful_std,hamfa_memory_assisted_successful_lower,hamfa_memory_assisted_successful_upper,hamfa_memory_assisted_not_successful,hamfa_memory_assisted_not_successful_std,hamfa_memory_assisted_not_successful_lower,hamfa_memory_assisted_not_successful_upper,hamfa_memory_attempted,hamfa_memory_attempted_std,hamfa_memory_attempted_lower,hamfa_memory_attempted_upper,hamfa_all_photonic_used,hamfa_all_photonic_used_std,hamfa_all_photonic_used_lower,hamfa_all_photonic_used_upper,hamfa_passed_t_cut,hamfa_passed_t_cut_std,hamfa_passed_t_cut_lower,hamfa_passed_t_cut_upper,hamfa_direct_ap_trials,hamfa_direct_ap_trials_std,hamfa_direct_ap_trials_lower,hamfa_direct_ap_trials_upper,hamfa_photonic_trials_during_requests,hamfa_photonic_trials_during_requests_std,hamfa_photonic_trials_during_requests_lower,hamfa_photonic_trials_during_requests_upper
11,18.0,9.0,20.0,8.0,8.0,1.0,1.0,ok,,590461.0,3.0,372.0,30.0,13428146.4,5510343.846907926,7917802.553092075,18938490.246907927,9850731.34495151,5056057.108948501,4794674.23600301,14906788.453900011,3.0,0.0,3.0,3.0,2.2666666666666666,0.44977644510880366,1.816890221557863,2.71644311177547,1.1,0.661763578993857,0.43823642100614313,1.761763578993857,0.7,1.2077336998093464,0.0,1.9077336998093464,1.8,0.8469010445797932,0.9530989554202068,2.6469010445797934,1.9,0.661763578993857,1.238236421006143,2.561763578993857,0.0,0.0,0.0,0.0,43.53333333333333,26.879980158722834,16.653353174610498,70.41331349205616,43.53333333333333,26.879980158722834,16.653353174610498,70.41331349205616
21,33.0,14.0,39.0,13.0,13.0,3.0,3.0,ok,,1369883.0,6.0,672.0,30.0,25396935.3,11742202.734753832,13654732.565246169,37139138.03475383,10178972.541585835,5194298.917878488,4984673.623707347,15373271.459464323,6.0,0.0,6.0,6.0,3.433333333333333,0.5683207771559353,2.8650125561773976,4.001654110489269,3.6,1.0034423509719619,2.596557649028038,4.603442350971962,0.7,0.9523111632886269,0.0,1.6523111632886267,4.3,0.8366600265340757,3.4633399734659243,5.136660026534075,2.4,1.0034423509719619,1.396557649028038,3.403442350971962,0.0,0.0,0.0,0.0,30.133333333333333,24.22983816436388,5.903495168969453,54.36317149769721,30.133333333333333,24.22983816436388,5.903495168969453,54.36317149769721
31,48.0,19.0,54.0,13.0,13.0,3.0,3.0,ok,,1369883.0,11.0,972.0,30.0,47908003.9,16139880.536037104,31768123.363962896,64047884.4360371,35034797.901521176,12772028.115316045,22262769.78620513,47806826.016837224,11.0,0.0,11.0,11.0,8.5,0.572351471472339,7.927648528527661,9.07235147147234,3.6333333333333333,0.8087168778415268,2.8246164554918067,4.44205021117486,1.4333333333333333,1.6750364552560582,0.0,3.1083697885893917,5.066666666666666,1.5070714541175851,3.5595952125490813,6.573738120784252,7.366666666666666,0.8087168778415269,6.557949788825139,8.175383544508193,0.0,0.0,0.0,0.0,155.66666666666666,66.89019995914732,88.77646670751933,222.556866625814,155.66666666666666,66.89019995914732,88.77646670751933,222.556866625814
41,63.0,24.0,73.0,19.0,19.0,5.0,5.0,ok,,2220805.0,14.0,1272.0,30.0,62180605.1,17302447.219976734,44878157.88002327,79483052.31997673,33786675.64243364,10188192.910087407,23598482.732346237,43974868.55252105,14.0,0.0,14.0,14.0,9.766666666666667,0.7738543627276671,8.992812303939,10.540521029394334,5.966666666666667,1.0661996103898193,4.900467056276847,7.0328662770564865,1.8666666666666667,2.012603963188903,0.0,3.8792706298555695,7.833333333333333,1.8398525678065534,5.99348076552678,9.673185901139886,8.033333333333333,1.0661996103898193,6.9671337229435135,9.099532943723153,0.0,0.0,0.0,0.0,141.0,52.63996121998362,88.36003878001638,193.6399612199836,141.0,52.63996121998362,88.36003878001638,193.6399612199836
51,,,,,,,,failed,"ValueError: Legacy starting_process must contain exactly one processing qubit:
{'id': 29, 'kind': 'STARTING_PROCESS', 'operation': 'starting_process', 'qubits': [{'name': 'server_0_link_register[0]', 'server': 0, 'index': 0, 'is_link': True}, {'name': 'server_10_link_register[0]', 'server': 10, 'index': 0, 'is_link': True}]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,93.0,34.0,107.0,20.0,20.0,7.0,7.0,ok,,2686727.0,27.0,1872.0,30.0,121373914.6,24833535.45692161,96540379.14307839,146207450.0569216,83560198.84799385,20339157.849123042,63221040.998870805,103899356.6971169,27.0,0.0,27.0,27.0,21.3,1.0875470659652644,20.212452934034737,22.387547065965265,8.566666666666666,1.330888563259934,7.235778103406732,9.897555229926601,4.3,3.8160279041848266,0.4839720958151732,8.116027904184826,12.866666666666667,3.39099551381488,9.475671152851787,16.257662180481546,18.433333333333334,1.330888563259934,17.1024447700734,19.764221896593266,0.0,0.0,0.0,0.0,371.03333333333336,94.88195327601169,276.15138005732166,465.91528660934506,371.03333333333336,94.88195327601169,276.15138005732166,465.91528660934506
71,,,,,,,,failed,"ValueError: Legacy starting_process must contain exactly one processing qubit:
{'id': 39, 'kind': 'STARTING_PROCESS', 'operation': 'starting_process', 'qubits': [{'name': 'server_0_link_register[0]', 'server': 0, 'index': 0, 'is_link': True}, {'name': 'server_4_link_register[0]', 'server': 4, 'index': 0, 'is_link': True}]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,123.0,44.0,139.0,22.0,22.0,8.0,8.0,ok,,3035188.0,37.0,2472.0,30.0,173904922.2,25981901.473025296,147923020.7269747,199886823.67302528,126855262.58621404,20386925.83517077,106468336.75104326,147242188.4213848,37.0,0.0,37.0,37.0,30.633333333333333,1.2452207485597397,29.388112584773594,31.87855408189307,9.466666666666667,1.9250317208910563,7.541634945775611,11.391698387557723,7.066666666666666,6.124756621953311,0.9419100447133557,13.191423288619976,16.533333333333335,5.302786081852167,11.230547251481168,21.8361194151855,27.533333333333335,1.9250317208910561,25.60830161244228,29.45836505422439,0.0,0.0,0.0,0.0,593.2,105.93667594532512,487.2633240546749,699.1366759453251,593.2,105.93667594532512,487.2633240546749,699.1366759453251
91,138.0,49.0,154.0,23.0,23.0,8.0,8.0,ok,,3112188.0,41.0,2772.0,30.0,189972404.5,31041347.547673956,158931056.95232606,221013752.04767394,144652530.82964432,25585614.28315996,119066916.54648437,170238145.1128043,41.0,0.0,41.0,41.0,34.6,1.1626367179523593,33.43736328204764,35.76263671795236,9.433333333333334,1.5241353305225642,7.909198002810769,10.957468663855899,6.966666666666667,5.261986863070492,1.704679803596175,12.228653529737159,16.4,4.874988947821248,11.525011052178751,21.274988947821246,31.566666666666666,1.5241353305225642,30.0425313361441,33.09080199718923,0.0,0.0,0.0,0.0,677.6,131.85666198696532,545.7433380130346,809.4566619869654,677.6,131.85666198696532,545.7433380130346,809.4566619869654
101,,,,,,,,failed,"ValueError: Legacy starting_process must contain exactly one processing qubit:
{'id': 54, 'kind': 'STARTING_PROCESS', 'operation': 'starting_process', 'qubits': [{'name': 'server_0_link_register[0]', 'server': 0, 'index': 0, 'is_link': True}, {'name': 'server_9_link_register[0]', 'server': 9, 'index': 0, 'is_link': True}]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
